b,d,converted,firstBit,secondBit,thirdBit,firstBitInvert,secondBitInvert,thirdBitInvert
237,247.16717948717948,11106530.76923077,0.9997435897435898,0.9996153846153846,0.7007692307692308,0.0002564102564102111,0.00038461538461542766,0.2992307692307692
238,246.9476923076923,11107942.307692308,1.0,1.0,0.6842307692307692,0.0,0.0,0.3157692307692308
239,246.37128205128204,11107582.051282052,1.0,1.0,0.6482051282051282,0.0,0.0,0.3517948717948718
240,246.06153846153848,11107367.948717948,1.0,0.9997435897435898,0.6293589743589744,0.0,0.0002564102564102111,0.37064102564102563
241,245.4851282051282,11107028.205128206,1.0,1.0,0.5928205128205128,0.0,0.0,0.40717948717948715
242,245.18358974358972,11106839.743589744,1.0,1.0,0.573974358974359,0.0,0.0,0.426025641025641
243,244.6030769230769,11106476.923076924,1.0,1.0,0.5376923076923077,0.0,0.0,0.4623076923076923
244,244.2625641025641,11106253.846153846,1.0,0.9998717948717948,0.5166666666666667,0.0,0.00012820512820521657,0.4833333333333333
245,243.84615384615384,11106003.846153846,1.0,1.0,0.4903846153846153,0.0,0.0,0.5096153846153847
246,243.4174358974359,11105735.897435898,1.0,1.0,0.4635897435897436,0.0,0.0,0.5364102564102564
247,242.9805128205128,11105462.82051282,1.0,1.0,0.4362820512820513,0.0,0.0,0.5637179487179487
248,242.4574358974359,11105135.897435898,1.0,1.0,0.4035897435897436,0.0,0.0,0.5964102564102565
249,242.21128205128204,11104982.051282052,1.0,1.0,0.3882051282051282,0.0,0.0,0.6117948717948718
250,242.02871794871797,11104867.948717948,1.0,1.0,0.3767948717948718,0.0,0.0,0.6232051282051282
251,241.91589743589745,11104787.17948718,1.0,0.9998717948717948,0.37,0.0,0.00012820512820521657,0.63
252,239.70461538461535,11103394.871794872,1.0,0.9997435897435898,0.232051282051282,0.0,0.0002564102564102111,0.767948717948718
253,239.43384615384616,11103246.153846154,1.0,1.0,0.2146153846153846,0.0,0.0,0.7853846153846153
254,238.91076923076923,11102919.23076923,1.0,1.0,0.1819230769230769,0.0,0.0,0.8180769230769231
255,238.6297435897436,11102743.58974359,1.0,1.0,0.1643589743589743,0.0,0.0,0.8356410256410257
256,238.3774358974359,11102585.897435898,1.0,1.0,0.1485897435897435,0.0,0.0,0.8514102564102565
257,238.2153846153846,11102484.615384616,1.0,1.0,0.1384615384615384,0.0,0.0,0.8615384615384616
258,237.8071794871795,11102229.487179488,1.0,1.0,0.1129487179487179,0.0,0.0,0.8870512820512821
259,237.72102564102565,11102175.641025642,1.0,1.0,0.1075641025641025,0.0,0.0,0.8924358974358975
260,237.42358974358973,11101989.743589744,1.0,1.0,0.0889743589743589,0.0,0.0,0.9110256410256411
261,237.3353846153846,11101934.615384616,1.0,1.0,0.0834615384615384,0.0,0.0,0.9165384615384616
262,237.1097435897436,11101793.58974359,1.0,1.0,0.0693589743589743,0.0,0.0,0.9306410256410257
263,236.95179487179487,11101694.871794872,1.0,1.0,0.0594871794871794,0.0,0.0,0.9405128205128206
264,236.8307692307692,11101619.23076923,1.0,1.0,0.0519230769230769,0.0,0.0,0.9480769230769232
265,236.6707692307692,11101519.23076923,1.0,1.0,0.0419230769230769,0.0,0.0,0.958076923076923
266,236.57846153846157,11101461.538461538,1.0,1.0,0.0361538461538461,0.0,0.0,0.9638461538461539
267,236.5825641025641,11101453.846153846,1.0,0.9998717948717948,0.0366666666666666,0.0,0.00012820512820521657,0.9633333333333334
268,236.4123076923077,11101357.692307692,1.0,1.0,0.0257692307692307,0.0,0.0,0.9742307692307693
269,236.33846153846156,11101311.538461538,1.0,1.0,0.0211538461538461,0.0,0.0,0.9788461538461539
270,236.32615384615383,11101303.846153846,1.0,1.0,0.0203846153846153,0.0,0.0,0.9796153846153847
271,236.2133333333333,11101223.076923076,1.0,0.9998717948717948,0.0135897435897435,0.0,0.00012820512820521657,0.9864102564102565
272,236.1948717948718,11101221.794871794,1.0,1.0,0.0121794871794871,0.0,0.0,0.9878205128205129
273,236.15384615384616,11101196.153846154,1.0,1.0,0.0096153846153846,0.0,0.0,0.9903846153846154
274,236.1005128205128,11099870.512820512,1.0,0.9997435897435898,0.0078205128205128,0.0,0.0002564102564102111,0.9921794871794872
275,236.08615384615385,11101030.76923077,0.9998717948717948,1.0,0.0058974358974358,0.00012820512820521657,0.0,0.9941025641025641
276,236.08,11101150.0,1.0,1.0,0.005,0.0,0.0,0.995
277,236.05128205128204,11099573.076923076,0.9997435897435898,0.9994871794871796,0.0062820512820512,0.0002564102564102111,0.0005128205128204222,0.9937179487179488
278,236.0533333333333,11101133.333333334,1.0,1.0,0.0033333333333333,0.0,0.0,0.9966666666666667
279,236.0389743589744,11101124.358974358,1.0,1.0,0.0024358974358974,0.0,0.0,0.9975641025641026
280,236.04717948717948,11101129.487179488,1.0,1.0,0.0029487179487179,0.0,0.0,0.9970512820512821
281,236.02666666666667,11101116.666666666,1.0,1.0,0.0016666666666666,0.0,0.0,0.9983333333333334
282,236.00820512820516,11099833.333333334,1.0,1.0,0.0015384615384615,0.0,0.0,0.9984615384615385
283,235.9774358974359,11098275.641025642,0.9997435897435898,0.9997435897435898,0.0021794871794871,0.0002564102564102111,0.0002564102564102111,0.9978205128205129
284,235.9446153846154,11095701.282051282,0.9997435897435898,0.9996153846153846,0.0024358974358974,0.0002564102564102111,0.00038461538461542766,0.9975641025641026
285,236.00820512820516,11101105.128205128,1.0,1.0,0.0005128205128205,0.0,0.0,0.9994871794871795
286,236.00820512820516,11101105.128205128,1.0,1.0,0.0005128205128205,0.0,0.0,0.9994871794871795
287,236.00820512820516,11100941.025641026,0.9998717948717948,0.9994871794871796,0.002051282051282,0.00012820512820521657,0.0005128205128204222,0.997948717948718
288,236.00820512820516,11101094.871794872,1.0,0.9998717948717948,0.0007692307692307,0.0,0.00012820512820521657,0.9992307692307693
289,236.00615384615384,11101093.58974359,1.0,0.9998717948717948,0.0006410256410256,0.0,0.00012820512820521657,0.9993589743589744
290,235.99179487179487,11100951.282051282,0.9998717948717948,0.9997435897435898,0.0005128205128205,0.00012820512820521657,0.0002564102564102111,0.9994871794871795
291,235.9897435897436,11099698.717948718,0.9998717948717948,1.0,0.0008974358974358,0.00012820512820521657,0.0,0.9991025641025642
292,235.97333333333333,11098273.076923076,0.9997435897435898,0.9997435897435898,0.0019230769230769,0.0002564102564102111,0.0002564102564102111,0.9980769230769231
293,236.00205128205127,11101101.282051282,1.0,1.0,0.0001282051282051,0.0,0.0,0.9998717948717949
294,236.00205128205127,11101101.282051282,1.0,1.0,0.0001282051282051,0.0,0.0,0.9998717948717949
295,236.00205128205127,11101101.282051282,1.0,1.0,0.0001282051282051,0.0,0.0,0.9998717948717949
296,235.99589743589743,11101087.17948718,1.0,0.9998717948717948,0.0,0.0,0.00012820512820521657,1.0
297,236.00205128205127,11101091.025641026,1.0,0.9998717948717948,0.0003846153846153,0.0,0.00012820512820521657,0.9996153846153847
298,235.99384615384616,11101075.641025642,1.0,0.9997435897435898,0.0001282051282051,0.0,0.0002564102564102111,0.9998717948717949
299,236.00615384615384,11101103.846153846,1.0,1.0,0.0003846153846153,0.0,0.0,0.9996153846153847
300,235.9897435897436,11100950.0,0.9998717948717948,0.9997435897435898,0.0003846153846153,0.00012820512820521657,0.0002564102564102111,0.9996153846153847
301,236.00205128205127,11101101.282051282,1.0,1.0,0.0001282051282051,0.0,0.0,0.9998717948717949
302,236.00205128205127,11101101.282051282,1.0,1.0,0.0001282051282051,0.0,0.0,0.9998717948717949
303,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
304,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
305,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
306,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
307,236.00205128205127,11101101.282051282,1.0,1.0,0.0001282051282051,0.0,0.0,0.9998717948717949
308,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
309,236.00205128205127,11101101.282051282,1.0,1.0,0.0001282051282051,0.0,0.0,0.9998717948717949
310,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
311,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
312,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
313,236.00205128205127,11101101.282051282,1.0,1.0,0.0001282051282051,0.0,0.0,0.9998717948717949
314,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
