b,d,converted,firstBit,secondBit,thirdBit,firstBitInvert,secondBitInvert,thirdBitInvert
204,239.4778947368421,11101842.10526316,0.991842105263158,1.0,1.0,0.00815789473684203,0.0,0.0
205,239.2084210526316,11097631.578947367,0.9876315789473684,1.0,1.0,0.012368421052631584,0.0,0.0
206,239.2757894736842,11098684.210526315,0.9886842105263158,1.0,1.0,0.011315789473684168,0.0,0.0
207,239.14105263157896,11096578.94736842,0.986578947368421,1.0,1.0,0.013421052631579,0.0,0.0
208,238.9557894736842,11093684.210526315,0.9836842105263158,1.0,1.0,0.016315789473684172,0.0,0.0
209,238.53473684210527,11087105.263157897,0.9771052631578948,1.0,1.0,0.02289473684210519,0.0,0.0
210,238.53473684210527,11087105.263157897,0.9771052631578948,1.0,1.0,0.02289473684210519,0.0,0.0
211,238.36631578947367,11084473.684210526,0.9744736842105264,1.0,1.0,0.02552631578947362,0.0,0.0
212,237.7642105263158,11075234.210526315,0.9652631578947368,0.9997368421052631,0.9997368421052631,0.03473684210526318,0.000263157894736854,0.000263157894736854
213,237.3221052631579,11068157.89473684,0.958157894736842,1.0,1.0,0.041842105263158014,0.0,0.0
214,236.9178947368421,11061842.10526316,0.951842105263158,1.0,1.0,0.048157894736841955,0.0,0.0
215,236.0421052631579,11048157.89473684,0.938157894736842,1.0,1.0,0.06184210526315803,0.0,0.0
216,236.14315789473685,11049736.842105264,0.9397368421052632,1.0,1.0,0.060263157894736796,0.0,0.0
217,235.45263157894735,11038947.368421054,0.9289473684210526,1.0,1.0,0.07105263157894737,0.0,0.0
218,234.69473684210527,11027105.263157897,0.9171052631578948,1.0,1.0,0.08289473684210524,0.0,0.0
219,233.28,11005000.0,0.895,1.0,1.0,0.10499999999999998,0.0,0.0
220,233.06105263157892,11001578.94736842,0.891578947368421,1.0,1.0,0.10842105263157897,0.0,0.0
221,231.29263157894735,10973947.368421054,0.8639473684210527,1.0,1.0,0.13605263157894731,0.0,0.0
